gene	via_seed	interaction_score	n_drugs	n_approved	maturity	priority	approved_drugs	top_drugs
SRPK1	TP53	0.59	13	1	0.231	0.1363	SORAFENIB	COMPOUND 13 [PMID: 15925511]|(RS)-ROSCOVITINE|LY2090314|HESPERADIN|SNS-314
PBK	TP53	0.71	6	1	0.188	0.1335	GEFITINIB	OTS964|GEFITINIB|BAY 61-3606|COMPOUND 8 [PMID: 17480064]|LINIFANIB
TOP1MT	TP53	0.4	5	2	0.331	0.1324	TOPOTECAN HYDROCHLORIDE|IRINOTECAN HYDROCHLORIDE	FIRTECAN PEGOL|LIPOSOMAL SN-38|ETIRINOTECAN PEGOL|TOPOTECAN HYDROCHLORIDE|IRINOTECAN HYDROCHLORIDE
TWIST1	TP53	0.82	1	1	0.156	0.1279	FLUOROURACIL	FLUOROURACIL
WWOX	TP53	0.4	3	2	0.319	0.1276	GEMCITABINE|SORAFENIB	RECOMBINANT TUMOR NECROSIS FACTOR FAMILY PROTEIN|GEMCITABINE|SORAFENIB
RPL5	TP53	0.61	9	1	0.206	0.1257	ATALUREN	ELX-02|DORLIMOMAB ARITOX|CITATUZUMAB BOGATOX|TELIMOMAB ARITOX|TAPLITUMOMAB PAPTOX
ATG5	CDKN2A	0.4	2	2	0.313	0.1252	TILDRAKIZUMAB|ADALIMUMAB	TILDRAKIZUMAB|ADALIMUMAB
EPB41	CDKN2A	0.4	2	2	0.313	0.1252	BUPROPION HYDROCHLORIDE|NICOTINE POLACRILEX	BUPROPION HYDROCHLORIDE|NICOTINE POLACRILEX
RPS3	TP53	0.59	9	1	0.206	0.1215	ATALUREN	DORLIMOMAB ARITOX|ELX-02|CITATUZUMAB BOGATOX|MT-3724|TELIMOMAB ARITOX
BHLHE40	TP53	0.73	2	1	0.163	0.119	TRETINOIN	TRICHOSTATIN A|TRETINOIN
SFN	TP53	0.74	1	1	0.156	0.1154	IMATINIB	IMATINIB
TPT1	TP53	0.71	1	1	0.156	0.1108	FLUOROURACIL	FLUOROURACIL
NCOR2	TP53	0.65	3	1	0.169	0.1099	BENZBROMARONE	CHEMBL:CHEMBL312032|BENZBROMARONE|9,10-PHENANTHRENEQUINONE
IKBKE	CDKN2A	0.4	19	1	0.269	0.1076	AMLEXANOX	MPI-0485520|SR8185|COMPOUND II [PMID: 21329883]|MRT67307|GSK8612
S100B	TP53	0.62	3	1	0.169	0.1048	STREPTOZOCIN	ARUNDIC ACID|PHENOTHIAZINE|STREPTOZOCIN
IP6K2	TP53	0.6	2	1	0.163	0.0978	DEXTROMETHORPHAN POLISTIREX	DEXTRORPHAN|DEXTROMETHORPHAN POLISTIREX
SIN3A	TP53	0.59	1	1	0.156	0.092	HYDROXYUREA	HYDROXYUREA
FOXO3	TP53	0.54	2	1	0.163	0.088	RESVERATROL	SYRINGARESINOL|RESVERATROL
SAE1	TP53	0.44	8	1	0.2	0.088	THIOCTIC ACID	GINGKOLIC ACID|PEVONEDISTAT|BETULINIC ACID|LOBARIC ACID|THIOCTIC ACID
BARD1	TP53	0.54	1	1	0.156	0.0842	OLAPARIB	OLAPARIB
HSPA1L	TP53	0.54	1	1	0.156	0.0842	CARBAMAZEPINE	CARBAMAZEPINE
KMT2E	TP53	0.52	1	1	0.156	0.0811	DULOXETINE HYDROCHLORIDE	DULOXETINE HYDROCHLORIDE
LAMA4	TP53	0.52	1	1	0.156	0.0811	OCRIPLASMIN	OCRIPLASMIN
